qid,question,answer,confidence,correct,gold_aliases
tc_2,Who was the man behind The Chipmunks?,Ross Bagdasarian,90,0,"[""David Seville"", ""David Seville""]"
tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,60,1,"[""Sunset Blvd"", ""West Sunset Boulevard"", ""Sunset Boulevard"", ""Sunset Bulevard"", ""Sunset Blvd."", ""Sunset Boulevard""]"
tc_40,Who was the next British Prime Minister after Arthur Balfour?,H. H. Asquith,60,0,"[""Sir Henry Campbell-Bannerman"", ""Campbell-Bannerman"", ""Campbell Bannerman"", ""Sir Henry Campbell Bannerman"", ""Henry Campbell Bannerman"", ""Henry Campbell-Bannerman"", ""Campbell-Bannerman""]"
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Exile,60,1,"[""Internal exile"", ""Exiles"", ""Transported for life"", ""Exile (politics and government)"", ""Voluntary exile"", ""Sent into exile"", ""Exile and Banishment"", ""Self-exile"", ""Forced exile"", ""Exile"", ""Exile in Greek tragedy"", ""Banish"", ""Banishment"", ""Exile""]"
tc_56,What claimed the life of singer Kathleen Ferrier?,Cancer,60,1,"[""Cancer pathology"", ""Deaths by cancer"", ""Anti-cancer"", ""Cancer (disease)"", ""Cancerophobia"", ""Malignant lesion"", ""Cancer medication"", ""Malignant tumors"", ""Cancer signs"", ""Malignant neoplasm"", ""Invasive (cancer)"", ""Malignant Neoplasms"", ""Malignant growth"", ""Sporadic cancer"", ""Malignant cancer"", ""Tumour virus"", ""Cancer en cuirasse"", ""Microtumor"", ""Malignant neoplasms"", ""Malignant tumour"", ""Carcinophobia"", ""Malignacy"", ""Cancer patient"", ""Epithelial cancers"", ""Solid cancer"", ""Cancers"", ""Tumor medication"", ""Malignant neoplastic disease"", ""AIDS-related cancer"", ""Invasive cancer"", ""Cancer therapy"", ""Cancerous tumor"", ""Cancer"", ""Financial toxicity"", ""Cancer diagnosis"", ""Cancer (medicine)"", ""Malignant tumor"", ""Cancerous"", ""Borderline (cancer)"", ""Signs of cancer"", ""Malignancies"", ""Cancer aromatase"", ""Cancer""]"
tc_69,Rita Coolidge sang the title song for which Bond film?,Octopussy,60,1,"[""Kamal kahn"", ""List of Bond girls in Octopussy"", ""Magda (James Bond)"", ""List of James Bond allies in Octopussy"", ""Vijay (James Bond)"", ""Bond 13"", ""Octopussy (character)"", ""Penelope Smallbone"", ""Octopussy"", ""General Orlov"", ""Kamal Khan"", ""Octopussy (film)"", ""List of James Bond villains in Octopussy"", ""Jim Fanning (James Bond)"", ""Octopussy""]"
tc_79,What was the last US state to reintroduce alcohol after prohibition?,Mississippi,60,0,"[""Utah (State)"", ""Forty-Fifth State"", ""Sports in Utah"", ""Climate of Utah"", ""Education in Utah"", ""UT (state)"", ""Utahn"", ""Yutas"", ""Geography of Utah"", ""Utah"", ""Utah, United States"", ""Utah state nickname"", ""History of mining in Utah"", ""State of Utah"", ""Religion in Utah"", ""Utah (U.S. state)"", ""Transportation in Utah"", ""Beehive State"", ""US-UT"", ""Utah (state)"", ""Forty-fifth State"", ""Utahan"", ""Politics of Utah"", ""Salt Lake Seagulls"", ""45th State"", ""History of Utah (to 1847)"", ""The Beehive State"", ""Youtah"", ""Transport in Utah"", ""Utah""]"
tc_106,Which actress was voted Miss Greenwich Village in 1942?,Marilyn Monroe,60,0,"[""Bacall"", ""Lauren Becal"", ""Lauren Bacall"", ""Lauren Becall"", ""Betty J. Perske"", ""Loren Bacall"", ""Betty Joan Perske"", ""Betty Perske"", ""Betty Joan Perski"", ""Lauren Bacall""]"
tc_133,What is the Japanese share index called?,Nikkei 225,60,1,"[""Nikkei"", ""Nikkei (disambiguation)"", ""Nikkei""]"
tc_137,What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,90,1,"[""Walk on the Moon"", ""Walk on the moon"", ""Moonwalk (disambiguation)"", ""Lunar walks"", ""Moonwalk"", ""Moon Walk"", ""Moonwalking"", ""Lunar walk"", ""Moon walk"", ""Moonwalks"", ""Moon walks"", ""Lunar walking"", ""Moon walking"", ""Moonwalk""]"
