category,experiment,system,judge,total_score
belief,closing_gap_belief,Claude Code,Human,85.93
belief,closing_gap_belief,Mechanist,Human,90.62
belief,closing_gap_belief,AI-Scientist,Human,59.26
belief,llm_social_decision,Claude Code,Human,83.15
belief,llm_social_decision,Mechanist,Human,90.37
belief,llm_social_decision,AI-Scientist,Human,83.52
belief,verbal_confidence,Claude Code,Human,83.7
belief,verbal_confidence,Mechanist,Human,97.78
belief,verbal_confidence,AI-Scientist,Human,41.48
emotion,emotion_circuit,Claude Code,Human,82.72
emotion,emotion_circuit,Mechanist,Human,90.12
emotion,emotion_circuit,AI-Scientist,Human,57.78
emotion,emotion_prompts,Claude Code,Human,90.66
emotion,emotion_prompts,Mechanist,Human,86.06
emotion,emotion_prompts,AI-Scientist,Human,51.42
feature_description,multi_modal_feature_description,Claude Code,Human,83.33
feature_description,multi_modal_feature_description,Mechanist,Human,93.33
feature_description,multi_modal_feature_description,AI-Scientist,Human,56.67
feature_description,sae_agentic_explainer,Claude Code,Human,73.33
feature_description,sae_agentic_explainer,Mechanist,Human,80.0
feature_description,sae_agentic_explainer,AI-Scientist,Human,53.33
multi-agent_safety,multi_agent,Claude Code,Human,67.22
multi-agent_safety,multi_agent,Mechanist,Human,81.94
multi-agent_safety,multi_agent,AI-Scientist,Human,65.83
multilingual,lasa_safety,Claude Code,Human,72.41
multilingual,lasa_safety,Mechanist,Human,79.26
multilingual,lasa_safety,AI-Scientist,Human,41.0
multimodal,alignet_visual,Claude Code,Human,68.96
multimodal,alignet_visual,Mechanist,Human,96.04
multimodal,alignet_visual,AI-Scientist,Human,63.75
multimodal,universal_steering,Claude Code,Human,62.67
multimodal,universal_steering,Mechanist,Human,84.5
multimodal,universal_steering,AI-Scientist,Human,45.67
reasoning,propositional_logic_circuit,Claude Code,Human,85.68
reasoning,propositional_logic_circuit,Mechanist,Human,93.58
reasoning,propositional_logic_circuit,AI-Scientist,Human,73.33
reasoning,thinking_reasoning_steering,Claude Code,Human,76.3
reasoning,thinking_reasoning_steering,Mechanist,Human,93.33
reasoning,thinking_reasoning_steering,AI-Scientist,Human,65.19
safety,encode_harmfulness_refusal,Claude Code,Human,48.15
safety,encode_harmfulness_refusal,Mechanist,Human,67.41
safety,encode_harmfulness_refusal,AI-Scientist,Human,35.56
science,esmfold_mechanism,Claude Code,Human,89.38
science,esmfold_mechanism,Mechanist,Human,92.84
science,esmfold_mechanism,AI-Scientist,Human,40.0
science,interplm,Claude Code,Human,84.3
science,interplm,Mechanist,Human,97.78
science,interplm,AI-Scientist,Human,62.96
belief,closing_gap_belief,Claude Code,LLM,70.1
belief,closing_gap_belief,Mechanist,LLM,68.1
belief,closing_gap_belief,AI-Scientist,LLM,59.5
belief,verbal_confidence,Claude Code,LLM,74.1
belief,verbal_confidence,Mechanist,LLM,68.1
belief,verbal_confidence,AI-Scientist,LLM,54.1
belief,llm_social_decision,Claude Code,LLM,62.6
belief,llm_social_decision,Mechanist,LLM,68.3
belief,llm_social_decision,AI-Scientist,LLM,46.1
emotion,emotion_circuit,Claude Code,LLM,56.5
emotion,emotion_circuit,Mechanist,LLM,59.0
emotion,emotion_circuit,AI-Scientist,LLM,45.9
emotion,emotion_prompts,Claude Code,LLM,68.0
emotion,emotion_prompts,Mechanist,LLM,63.0
emotion,emotion_prompts,AI-Scientist,LLM,58.9
feature_description,multi_modal_feature_description,Claude Code,LLM,79.3
feature_description,multi_modal_feature_description,Mechanist,LLM,79.3
feature_description,multi_modal_feature_description,AI-Scientist,LLM,53.7
feature_description,sae_agentic_explainer,Claude Code,LLM,76.3
feature_description,sae_agentic_explainer,Mechanist,LLM,71.1
feature_description,sae_agentic_explainer,AI-Scientist,LLM,44.4
multi-agent_safety,multi_agent,Claude Code,LLM,54.6
multi-agent_safety,multi_agent,Mechanist,LLM,64.2
multi-agent_safety,multi_agent,AI-Scientist,LLM,49.1
multilingual,lasa_safety,Claude Code,LLM,56.3
multilingual,lasa_safety,Mechanist,LLM,49.6
multilingual,lasa_safety,AI-Scientist,LLM,39.3
multimodal,alignet_visual,Claude Code,LLM,52.4
multimodal,alignet_visual,Mechanist,LLM,60.4
multimodal,alignet_visual,AI-Scientist,LLM,35.9
multimodal,universal_steering,Claude Code,LLM,48.7
multimodal,universal_steering,Mechanist,LLM,64.6
multimodal,universal_steering,AI-Scientist,LLM,37.0
reasoning,propositional_logic_circuit,Claude Code,LLM,58.3
reasoning,propositional_logic_circuit,Mechanist,LLM,74.1
reasoning,propositional_logic_circuit,AI-Scientist,LLM,38.5
reasoning,thinking_reasoning_steering,Claude Code,LLM,52.9
reasoning,thinking_reasoning_steering,Mechanist,LLM,52.9
reasoning,thinking_reasoning_steering,AI-Scientist,LLM,44.6
safety,encode_harmfulness_refusal,Claude Code,LLM,55.7
safety,encode_harmfulness_refusal,Mechanist,LLM,61.8
safety,encode_harmfulness_refusal,AI-Scientist,LLM,34.2
science,esmfold_mechanism,Claude Code,LLM,65.4
science,esmfold_mechanism,Mechanist,LLM,64.4
science,esmfold_mechanism,AI-Scientist,LLM,36.0
science,interplm,Claude Code,LLM,60.0
science,interplm,Mechanist,LLM,66.5
science,interplm,AI-Scientist,LLM,36.6
