类别,实验,sci,n,总分(0-100),原始总分,满分基准,d1,d2,d3,d4,d5,d6,d7,d8,前8小计,dim9_method,dim9_exp,dim9_result,dim9最终
belief,closing_gap_belief,s1,1,53.3,24.0,45.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,21.0,3.33,2.33,3.33,3.0
belief,closing_gap_belief,s2,1,60.2,27.11,45.0,1.0,3.0,5.0,4.0,3.0,2.0,4.0,2.0,24.0,4.67,2.0,2.67,3.11
belief,closing_gap_belief,s3,1,49.1,22.11,45.0,3.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,20.0,2.33,2.0,2.0,2.11
belief,verbal_confidence,s1,1,63.7,28.67,45.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,26.0,4.0,2.0,2.0,2.67
belief,verbal_confidence,s2,1,63.7,28.67,45.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,1.0,25.0,4.0,3.0,4.0,3.67
belief,verbal_confidence,s3,1,31.9,14.33,45.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0,2.0,1.33
belief,llm_social_decision,s1,1,45.9,20.67,45.0,1.0,2.0,5.0,2.0,1.0,3.0,3.0,1.0,18.0,4.25,2.0,1.75,2.67
belief,llm_social_decision,s2,1,46.5,20.92,45.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,18.0,3.75,2.0,3.0,2.92
belief,llm_social_decision,s3,1,36.3,16.33,45.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,14.0,3.75,2.0,1.25,2.33
emotion,emotion_circuit,s1,1,32.3,14.56,45.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,13.0,2.33,1.0,1.33,1.56
emotion,emotion_circuit,s2,1,37.8,17.0,45.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,15.0,2.0,1.67,2.33,2.0
emotion,emotion_circuit,s3,1,34.1,15.33,45.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,14.0,1.0,1.0,2.0,1.33
emotion,emotion_prompts,s1,1,58.5,26.33,45.0,5.0,4.0,3.0,4.0,1.0,2.0,3.0,1.0,23.0,4.5,2.25,3.25,3.33
emotion,emotion_prompts,s2,1,50.9,22.92,45.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,20.0,4.0,2.0,2.75,2.92
emotion,emotion_prompts,s3,1,52.4,23.58,45.0,1.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0,22.0,3.0,0.75,1.0,1.58
feature_description,multi_modal_feature_description,s1,1,64.4,29.0,45.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,26.0,4.0,2.0,3.0,3.0
feature_description,multi_modal_feature_description,s2,1,54.4,24.5,45.0,2.0,1.0,5.0,3.0,2.0,5.0,3.0,1.0,22.0,4.5,1.5,1.5,2.5
feature_description,multi_modal_feature_description,s3,1,60.0,27.0,45.0,1.0,2.0,5.0,2.0,3.0,5.0,5.0,1.0,24.0,4.0,2.0,3.0,3.0
feature_description,sae_agentic_explainer,s1,1,63.0,28.33,45.0,1.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,25.0,5.0,2.0,3.0,3.33
feature_description,sae_agentic_explainer,s2,1,51.1,23.0,45.0,1.0,2.0,5.0,2.0,2.0,5.0,3.0,1.0,21.0,3.0,1.0,2.0,2.0
feature_description,sae_agentic_explainer,s3,1,44.4,20.0,45.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,18.0,3.0,1.0,2.0,2.0
multi-agent_safety,multi_agent,s1,1,52.3,23.56,45.0,2.0,1.0,3.0,3.0,3.0,5.0,2.0,3.0,22.0,1.67,1.0,2.0,1.56
multi-agent_safety,multi_agent,s2,1,47.4,21.33,45.0,1.0,1.0,2.0,2.0,3.0,5.0,3.0,2.0,19.0,4.0,1.33,1.67,2.33
multi-agent_safety,multi_agent,s3,1,39.3,17.67,45.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,16.0,3.0,1.0,1.0,1.67
multilingual,lasa_safety,s1,1,42.6,19.17,45.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,17.0,3.0,1.5,2.0,2.17
